x_id,QID158,QID159_1,QID159_2,QID159_3,QID160,Q184,Q185_1,Q185_2,Q185_3,Q186,Q181,Q182_1,Q182_2,Q182_3,Q183,Q187,Q188_1,Q188_2,Q188_3,Q189,Q190,Q191_1,Q191_2,Q191_3,Q192,QID146_1,QID146_2,QID146_3,QID146_4,QID146_5,Q141_1,Q141_2,Q141_3,Q141_4,Q141_5,Q141_6,Q141_7,Q141_8,Q141_9,Q141_10,Q141_11,Q141_12,Q141_13,Q141_14,Q141_15,QID141_1,QID141_2,QID141_3,QID141_4,QID141_5,QID141_6,QID141_7,QID141_8,QID141_9,QID144,QID1320743511
A-20,4,6,3,6,Speed is hard to read,7,1,1,7,,5,1,5,9,,8,1,6,9,Should I yield to Police car?,6,1,1,9,,4,1,2,5,3,1,1,1,1,1,7,1,1,1,1,,1,1,1,,4,5,5,4,4,5,5,8,5,No,4
N-4,4,1,1,9,,7,1,1,9,,5,1,1,9,,8,1,1,9,,6,1,1,9,,4,1,5,3,2,,1,,,,,,,,,,,,,,2,4,8,8,8,7,7,3,7,I think I behaved the same however I think my ability to distinguish the difference between the VR scenarios and real life lowered my stress maybe more than in a real vehicle.,4
A-13,4,4,5,5,,7,6,5,6,,5,7,7,5,,8,5,3,7,,6,6,6,5,,,,3,4,5,1,2,1,1,1,2,2,1,3,1,2,1,2,3,2,5,8,8,3,8,7,7,3,7,,4
N-10,4,1,1,9,,7,1,1,9,,5,3,5,9,,8,1,1,9,,6,3,3,9,,4,1,2,3,5,5,3,,8,4,8,6,3,3,6,4,8,7,7,2,8,8,8,4,5,8,3,3,4,,4
A-6,4,9,1,4,,7,9,6,3,,5,7,6,5,,8,1,1,7,,6,9,5,4,,2,3,5,1,4,8,7,3,2,6,7,1,5,7,5,7,6,7,8,8,8,4,4,2,3,2,2,2,4,,4
A-7,7,4,1,7,,4,3,3,7,,6,6,5,6,,8,1,1,7,,5,4,1,7,,4,2,1,5,3,6,1,1,6,7,3,1,6,5,1,6,1,2,1,4,7,5,4,2,8,7,1,4,7,"I liked the rumbling and noise, but I think the gas / break sensitivity made it tough to feel realistic. ",4
N-30,7,9,7,6,It was freaky. Anticipating someone or something to enter the road so I was like AHHH”,4,6,3,6,Do I have to let the other car go ahead of me or will they yield”  doing our breathing exercises so we're good” (participant said in between scenarios),6,6,6,7,"I just didn't know what to do, it didnt move so I feel like I navigated it well” from researcher: were you worried it was going to move?” Response: I was really worried! I was so scared it was going to move”",8,6,3,9,"My heart rate is definitely spiking during this” when 2nd cyclist approached: ahh there's two!” When car approaches from side: with my health, I know how to breathe through things and feelings” after asking and being informed there will be no car crash scene: I feel much more safe now knowing that”",5,6,3,9,I was still concerned something was going to pop up at me”,3,2,5,4,1,7,7,,9,7,6,,8,5,,9,9,9,5,6,8,5,4,4,4,4,2,4,5,"If I was put through like a driving simulation in an actual car, it felt like I was taking a driving test, like don't speed. School bus situation would be an interesting scenario. Everything seemed reasonable, the bikes were reasonable, the pedestrian was a real jump scare ",4
N-17,4,1,1,9,,7,1,1,9,,5,1,1,9,,8,1,1,9,,6,1,1,9,,1,4,3,5,2,,3,,5,,3,,,,,3,6,,,,2,5,5,8,8,3,7,4,8,"I think while aware that the scenario was simulated, my reactions were genuine to how I usually drive ",4
A-17,4,1,4,6,Steering wheel obstructed speedometer ,7,1,1,7,First turn was jarring,5,1,1,6,"Sometimes hard to tell if driveway is road or not, approached turn differently after turn in pedestrian scenario",8,7,6,3,"Didn't look at rear view mirrors due to headset. Researcher note - Scenario may have malfunctioned, traffic behind the driver cut ahead.",6,1,1,9,Turning expert,2,,,3,1,3,,2,4,2,,,,,,2,4,,,,4,2,4,8,8,2,7,7,1,Mostly behave the same - did not check rear view mirror or side mirrors at all. I was less stressed when events (like getting passed in the third scenario) because I knew it was fake. My heart rate at the beginning was likely falsely high as I was apprehensive about it. It also might have changed depending on my nausea levels ,4
A-2,4,4,1,7,Nervous about bikes. No oncoming traffic lead to lower anxiety,7,6,3,6,Very nervous from first turn. Difficulty turning. Pedestrian didn't make nervous. Bikers made nervous. Couldn't see right mirror without turning whole body ,5,4,3,7,No comment,8,3,3,7,Easiest or least stressful scenario.,6,6,3,6,"Could not find brake. Truck made anxious, didn't know if it would move.",4,3,5,1,2,,,5,2,,,,,,,,2,,,,5,5,4,4,8,8,4,4,8,The turning felt less realistic than in a real car and it was hard to see out the right mirror ,4
A-5,4,4,6,7,Engine is loud. Unsure if vehicle was stopping. Signage was confusing at car stop,7,7,3,4,"Slowed down at oncoming traffic. Very nervous at first corner. Braked when biker appeared. Surprised by pedestrian, felt should be more aware.",5,4,3,3,"Construction was weird. Sudden stop sign after curve scary. Nausea from braking is limiting factor. Early braking due to driving style, not anxiety.",8,3,3,7,"Scenario was similar to first scenario, lead to greater comfort and confidence. Going in a straight line lead to less braking lead to less motion sickness.",6,6,7,4,Surprised garbage cans were on road. Thought garbage truck was in weird spot. Concerned of oncoming traffic around garbage truck.,1,2,5,4,3,6,7,2,8,8,8,7,6,5,6,9,6,7,7,8,4,3,8,8,8,3,8,4,4,"I believe I behaved similarly as I would in real life. I treated the VR experience as I would react in the real world. The breaks of the car was sensitive, so I believe it didn't capture my breaking in real life. ",4
A-15,7,6,5,4,,4,7,6,4,,5,7,6,4,,8,5,3,5,,6,5,3,4,,2,1,3,5,4,1,2,,2,2,,,,2,4,,,3,,,4,8,3,7,8,4,4,4,4,I would likely be more concerned in the real world due to mirrors and more traffic from behind,4
N-13,7,1,1,9,,4,1,1,9,,5,1,1,9,,8,1,1,9,,6,1,1,9,,2,3,5,1,4,,,,,,,,,,,,,,,,2,5,4,8,5,4,4,4,4,"I mostly behaved the same way, except for turning right — I turned very wide in the simulation, which I think is a result of not knowing how far from the curb my car was. Also, I think I did not find the brake pedal as quickly as I would have liked when braking to avoid the pedestrian, because I braked later than I would like to.",4
A-9,7,6,4,7,,4,3,3,9,,6,6,6,4,,8,1,1,7,,5,6,3,5,,1,3,5,2,4,1,1,2,2,1,1,1,2,2,1,1,2,3,2,1,2,5,4,2,8,2,2,4,8,I think I was a little more relaxed because there was no real harm I could be in,4
A-4,4,4,3,6,No comment,7,4,3,6,Bikers and pedestrian crossing stood out. Slowed down for oncoming traffic,5,4,4,5,"Trash cans on side of road gave concerns about available space. Some difficulty controlling speed, leads to turning difficulty.",8,4,4,7,Slowed down near bikes. ,6,3,4,7,Most difficult part was controlling speed,1,5,3,2,4,1,2,2,1,1,1,2,1,3,2,1,2,1,1,1,7,8,4,3,5,4,8,4,2,"I felt like it was similar to my real life experiences. I did struggle with controlling my speed, but that is also somewhat consistent with real life.",4
N-5,7,6,4,7,"Felt confused during first run, no longer confused after reset.",4,4,4,7,Always keeping eye on speedometer  ,6,4,4,9,Drove fast past truck as soon as saw road was clear,8,3,3,7,Noticed parked police car. ,5,3,3,9,No comments ,5,3,1,2,4,1,,,,,,,2,2,,,,,2,,2,5,4,7,7,8,1,8,8,,4
N-6,4,1,1,9,No.  Trying to get used to the pedals and how fast and slow and the surroundings.,7,5,1,7,I could tell the pedestrian was gonna cross because his legs were moving and waiting for me to cross. That was a trap. Expecting a bycyclist to jump out.,6,1,3,9,The person that walked straight through the garbage truck took me out of the scenario.,8,1,1,9,,5,3,1,9,"Other than the drifting that was sketchy, I also thought that it was interesting that you are not in the correct lane when you start. Knew exactly what to do when the person came out. ",1,4,2,3,5,1,,,5,3,,,1,3,,,7,2,,,1,5,8,7,5,7,7,8,8,N/A,4
N-11,4,1,1,9,,7,4,3,6,Surprised about the person ,6,3,3,6,,8,1,1,9,,5,3,1,7,,2,1,,,,2,1,,3,2,2,,2,2,2,2,2,3,2,2,5,4,8,7,7,2,2,4,4,"Steering response hard to get used to, vehicle in simulator doesn't coast as a vehicle does in person.",4
N-34,4,5,3,9,,7,7,5,5,Turning is hard. Cautious about people walking and biking ,6,3,3,7,,8,1,1,9,Biking person still making me cautious ,5,6,3,5,,3,1,5,4,2,1,,,,,3,,,,,,5,,,,8,5,4,3,8,7,2,8,8,I think one of the scenarios should include a highway or merging. ,4
N-19,4,1,1,7,,7,4,4,9,Speed feels not as fast as it actually is,6,3,6,3,Cause a crash in the last scenario due to over confidence in ,8,1,1,9,Last response is agree for previous scenario,5,1,1,9,Disagree for previous confused question,4,1,5,3,2,,,4,5,2,2,,,3,1,,3,,,,5,5,2,1,8,1,1,2,5,"I definitely behaved similarly in the driving simulator as I would in real life. I will say that the driving simulator gas and brake pedals were far more sensitive than that of a real vehicle, causing ,e to accelerate and decelerate much more quickly than I would in real life. Thus, I had trouble sticking to the 25 mph speed limit. Additionally, the speeds in the simulator felt far lower than what the speedometer said. For example, 25 mph in the simulation felt like 10 mph in real life, while 50 mph in the simulation felt like 30 mph in real life. Overall, I don't feel like this simulation adequately represented my real life driving skills, as these inconsistencies caused me to feel somewhat disoriented. ",4
N-2,4,4,6,7,Accelerate so a little more ,7,7,3,4,A little bit jarring noticed the person just do the crossing and right turning some what weird ,6,1,6,9,A little like electric vehicle ,8,1,1,9,,5,1,1,9,90 degree turning feel strange and start to feel confident to control the vehicle ,3,1,4,5,2,,2,2,2,2,3,2,2,3,3,,,,,,2,4,7,2,7,2,8,4,3,"The driving simulator responded similarly to an experience driving an electric vehicle. The car decelerates and accelerates much faster and at a consistent velocity than a typical gas powered vehicle that I typically use. It may be interesting to implement different vehicle types, ie. suv, sedans, electric,etc. and match participants with a familiar type as much of the early driving experience is getting familiar with how the vehicle operates which may induce additional stress in testers",4
A-22,7,4,5,4,,4,3,3,7,,6,6,5,4,,8,3,3,7,,5,5,4,5,,4,1,3,5,2,2,3,6,2,1,2,1,1,2,7,4,1,3,3,2,1,2,4,5,8,8,7,4,4,I behaved similarly because the scenarios are realistic,4
A-8,4,3,3,7,,7,4,4,4,,6,3,3,7,5 for I felt safe for last scenario ,8,3,3,7,,5,3,3,7,,3,1,4,5,2,6,6,2,2,7,6,,2,2,2,7,2,6,6,4,7,8,8,7,7,2,2,4,4,"25 mph felt very slow and I had to keep pumping up the speed and slowing down over and over. It felt a bit unnatural. And a tiny push of the pedal made a huge acceleration. But the test run was great so I could get a feel for it. I also felt uncomfortable with the break pedal, as it made the car stop very suddenly. It felt a bit unreal in the virtual environment. ",4
A-3,4,7,7,7,Scary for the cyclist ,7,7,6,4,,6,6,6,3,,8,5,4,7,,5,5,7,6,Help student who need to do the parallel parking or drivers test by using VR,4,2,5,3,1,7,3,,9,9,2,1,6,6,2,6,6,2,2,5,7,8,8,7,8,3,7,4,7,Pedals didn't feel the same and were touchy ,4
N-8,7,6,4,6,,4,5,3,7,,5,6,6,6,,8,3,3,7,,6,5,4,6,,1,5,3,2,4,2,,,,,,,,,,,,,,,2,5,4,8,8,8,3,8,5,It took a little bit getting used to the pedal sensitivity. It might of impacted my driving during the simulator. ,4
N-24,7,3,3,7,I think it took some time to get you used to because of the steering and getting a feel for the vehicle. Pretty easy very comfortable ,4,3,3,7,,5,3,7,7,I think that I feel like I'm in VR not in real life. Technique for turns is not right/true to real experiences,8,3,1,7,,6,3,3,7,,1,4,5,2,3,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,8,4,4,5,4,8,8,5,5,"None other than the speed limit. I would prefer if there was increase in the speed limit up to perhaps 30 mph, which I feel is a change that would suit most participating drivers as it would open up more variability in the driver's driving behaviors. ",4
N-14,4,1,1,9,,7,4,6,7,VR little glitches and person walking in place is just kind of weird,6,4,6,6,I wasn't sure if the garbage truck was moving or not,8,1,1,9,,5,1,4,9,Confused about what the obstacle was but less concerned than for the garbage truck,1,4,5,2,3,5,2,2,,5,3,,,6,,3,,7,2,2,2,4,5,7,8,8,2,5,5,"I could not brake gradually on the simulator, which made it hard to make turns and contributed to motion sickness. The scale of the VR environment was appropriate and realistic. There were some glitches such as blurriness and shifting location.",4
N-38,7,1,1,9,,4,1,1,9,,5,1,1,7,,8,1,1,9,,6,1,1,9,,5,4,2,3,1,,,,,,,,,,,,,,,,4,4,4,4,4,5,5,8,4,No,4
A-1,4,3,3,7,,7,6,3,5,,6,3,7,6,,8,4,3,7,,5,4,7,4,,2,1,5,3,4,,,,,,1,1,,1,,2,,3,,,4,5,5,4,5,4,7,5,7,,4
A-16,4,7,5,5,,7,7,7,5,,6,5,4,6,,8,4,6,6,,5,6,6,4,Abrupt turn ,4,2,5,1,3,4,3,4,7,4,2,2,4,6,3,3,6,2,2,,7,5,7,7,8,7,2,8,8,I was struggling with adjusting to a new car while also focusing on the road. I felt like I was back in drivers ed learning how to turn and how much pressure is needed on the pedals in different cars.,4
A-29,4,7,3,7,The cyclists were stressful,7,7,3,7,Turn was tricky,6,7,7,7,Unsure if truck would move or oncoming traffic. Unsure if road on right at beginning was route or should go straight,8,7,6,7,Thought car might go. Lack of stop sign encouraged to continue. ,5,6,6,7,Confused whether to go straight after turning. Wasn't sure if any workers at work zone ,4,1,5,3,2,4,3,5,7,4,4,2,5,5,2,3,6,2,1,2,4,8,8,8,7,7,7,4,4,"I think I behaved similarly, I think I would have signaled if that was possible and I think my turns would have been smoother in a real world environment but the scenarios felt similar. I think adding a turn signal would be helpful and would make it feel more realistic.",4
